MASTER_MENU                   
PROCEDURE_NUM,DESCRIPTION,SHORT_TEXT,MNEMONIC,LIBRARY,ROUTINE,TABLE_NAME,DATA_TYPE,ACTION_TYPE,TYPE,COMMITTED,AUX_REPORT,MODIFIABLE,REMOVEFLAG,ICON,ESIG_LEVEL,ESIG_REASON,PARAMETERS,PARAMETERS_ACTIONS,LIMSML_ENTITY,LIMSML_ACTION,CATEGORY,IMPLEMENTATION_TYPE,TASK_NAME,TASK_PARAMETERS,WINDOW_STYLE,MENU_GROUP_NAME,WEB_FUNCTION_NAME,WEB_ENABLED,WEB_AVAILABLE,WEB_ONLY
10,234,30,10,20,50,40,10,10,10,1,10,1,1,30,10,80,234,10,20,20,234,10,234,234,20,234,234,1,1,1
                    2448
"1","Add Analysis","Add","AAL","$LTE_ANAL","ADDOPTION","VERSIONED_ANALYSIS","STATIC","ADD","MENU","FALSE",,"FALSE","FALSE","INT_NEW",,,,"BEFORE",,,"Analyses","DESIGNER","VersionedAnalysisTask","VersionedAnalysis","DEFAULT",,,"TRUE","TRUE","FALSE"
"2","Add Customer","Add","ACL","$LTE_CUS","ADDOPTION","CUSTOMER","STATIC","ADD","MENU","FALSE",,"FALSE","FALSE","INT_NEW",,,,"BEFORE",,,"Customers","DESIGNER","CustomerTask","Customer","DEFAULT",,,"TRUE","TRUE","FALSE"
"3","Add Report Format","Add","AFL","$LTE_REP","ADDOPTION","REPORT","SYSTEM","ADD","MENU","FALSE",,"FALSE","FALSE","INT_NEW",,,,"BEFORE",,,"Report Formats","VGL",,,,,,"TRUE","TRUE","FALSE"
"4","Add Hazard","Add","AHL","$LTE_HAZ","ADDOPTION","HAZARD","STATIC","ADD","MENU","FALSE",,"FALSE","FALSE","INT_NEW",,,,"BEFORE",,,"Hazards","DESIGNER","GenericLabtableTask","Hazard","DEFAULT",,,"TRUE","TRUE","FALSE"
"5","Add Instrument","Add","AIL","$LTE_INST","ADDOPTION","INSTRUMENT","STATIC","ADD","MENU","FALSE",,"FALSE","FALSE","INT_NEW",,,,"BEFORE",,,"Instrument","DESIGNER","InstrumentTask","Instrument","DEFAULT",,,"TRUE","TRUE","FALSE"
"6","Add Location","Add","ALL","$LTE_LOC","ADDOPTION","LOCATION","STATIC","ADD","MENU","FALSE",,"FALSE","FALSE","INT_NEW",,,,"BEFORE",,,"Locations","DESIGNER","LocationTask","Location","DEFAULT",,,"TRUE","TRUE","FALSE"
"7","Modify Rule Counter","Modify Rule Counter","RCM","$LTE_RULE_COUNT","MODIFYOPTION","RULE_COUNT","ACTIVE","MODIFY","MENU","FALSE",,"FALSE","FALSE","INT_MODIFY",,,,"BEFORE",,,"Rules","VGL",,,,,,"TRUE","TRUE","FALSE"
"8","Display Rule Counter","Display Rule Counter","RCD","$LTE_RULE_COUNT","DISPLAYOPTION","RULE_COUNT","ACTIVE","DISPLAY","MENU","FALSE",,"FALSE","FALSE","INT_DISPLAY",,,,"BEFORE",,,"Rules","VGL",,,,,,"TRUE","TRUE","FALSE"
"9","Add Operator","Add","AOL","$LTE_PERS","ADDOPTION","PERSONNEL","SYSTEM","ADD","MENU","FALSE",,"FALSE","FALSE","INT_NEW",,,,"BEFORE",,,"Operators","DESIGNER","PersonnelTask","Personnel",,,,"TRUE","TRUE","FALSE"
"11","Authorize Sample","Authorize Sample","ASP","$AUX_ASP",,"SAMPLE","ACTIVE","STATUS","MENU","FALSE",,"FALSE","FALSE","INT_SAMPLE_A",,,,"BEFORE",,,"Samples","VGL",,,,,,"TRUE","TRUE","FALSE"
"12","Login Samples - New Job","New Job","NJL","$LOGIN_INTERFACE","SAMPLELOGINNEWJOB",,"ACTIVE","LOGIN","MENU","FALSE",,"FALSE","FALSE","INT_JOB_LOGIN",,,,"BEFORE",,,"Samples","VGL",,,,,,"TRUE","TRUE","FALSE"
"13","Summary of All Active Samples","Active Samples","AST","$ACTIVE",,"SAMPLE","ACTIVE","LIST","MENU","TRUE",,"FALSE","FALSE",,,,,"BEFORE",,,"Samples","DESIGNER","CriteriaGenericReportingTask","ACTIVE_SAMPLES,SAMPLES_ACTIVE",,,,"TRUE","TRUE","FALSE"
"14","Add Test Schedule","Add","ATL","$LTE_TSTSC","ADDOPTION","TEST_SCHED_HEADER","STATIC","ADD","MENU","FALSE",,"FALSE","FALSE","INT_NEW",,,,"BEFORE",,,"Test Schedules","DESIGNER","TestScheduleTask","TestSchedule",,,,"TRUE","TRUE","FALSE"
"15","Add Template","Add","ATM","$LTE_TEMPL","ADDOPTION","SAMP_TMPL_HEADER","STATIC","ADD","MENU","FALSE",,"FALSE","FALSE","INT_NEW",,,,"BEFORE",,,"Sample Templates","VGL",,,,,,"TRUE","TRUE","FALSE"
"16","Add User","Add User","AUU","$USER_CONTROL","ADD_USER",,"SYSTEM","SYSTEM","MENU","FALSE",,"FALSE","FALSE",,,,,"BEFORE",,,"Users","VGL",,,,,,"TRUE","TRUE","FALSE"
"17","Remove MLP","Remove","RLP","$LTE_MLP","REMOVEOPTION","MLP_HEADER","STATIC","REMOVE","MENU","FALSE",,"FALSE","FALSE","INT_REMOVE",,,,"BEFORE",,,"MLP Specs","DESIGNER","MlpHeaderTask","MlpHeader",,,,"TRUE","TRUE","FALSE"
"18","Restore MLP","Restore","ULP","$LTE_MLP","RESTOREOPTION","MLP_HEADER","STATIC","RESTORE","MENU","FALSE",,"FALSE","FALSE","INT_RESTORE",,,,"BEFORE",,,"MLP Specs","DESIGNER","MlpHeaderTask","MlpHeader",,,,"TRUE","TRUE","FALSE"
"21","Copy Analysis","Copy","CAL","$LTE_ANAL","COPYOPTION","VERSIONED_ANALYSIS","STATIC","COPY","MENU","FALSE",,"FALSE","FALSE","INT_COPY",,,,"BEFORE",,,"Analyses","DESIGNER","VersionedAnalysisTask","VersionedAnalysis","DEFAULT",,,"TRUE","TRUE","FALSE"
"22","Change Your Access Level","Change Access Level","CAU","$USER_CONTROL","CHANGE_ACCESS_LEVEL",,"SYSTEM","SECURITY","MENU","TRUE",,"FALSE","FALSE",,,,,"BEFORE",,,"Users","VGL",,,,,,"FALSE","TRUE","FALSE"
"23","Explore Table Defaults","Explore Table Defaults cabinet",,"$EXPLORER","EXPLORERTABLEDEFAULTS",,,"MODIFY","MENU","FALSE",,"FALSE","FALSE","INT_TABLE_SETTINGS",,,,"BEFORE",,,"Setup","DESIGNER","BrowseTask","EXPLORER_FOLDER,CABINET_TABLE_DETAILS",,,,"TRUE","TRUE","FALSE"
"24","Copy Customer","Copy","CCL","$LTE_CUS","COPYOPTION","CUSTOMER","STATIC","COPY","MENU","FALSE",,"FALSE","FALSE","INT_COPY",,,,"BEFORE",,,"Customers","DESIGNER","CustomerTask","Customer","DEFAULT",,,"TRUE","TRUE","FALSE"
"25","Copy Report Format","Copy","CFL","$LTE_REP","COPYOPTION","REPORT","SYSTEM","COPY","MENU","FALSE",,"FALSE","FALSE","INT_COPY",,,,"BEFORE",,,"Report Formats","VGL",,,,,,"TRUE","TRUE","FALSE"
"26","Copy Hazard","Copy","CHL","$LTE_HAZ","COPYOPTION","HAZARD","STATIC","COPY","MENU","FALSE",,"FALSE","FALSE","INT_COPY",,,,"BEFORE",,,"Hazards","DESIGNER","GenericLabtableTask","Hazard","DEFAULT",,,"TRUE","TRUE","FALSE"
"27","Display Explorer Cabinet","Display Cabinet...",,"$EXPLORER","EXPLORERCABINET",,,"DISPLAY","MENU","TRUE",,"FALSE","FALSE",,,,,"BEFORE",,,"Explorer Cabinet","VGL",,,,,,"TRUE","TRUE","FALSE"
"28","Copy Instrument","Copy","CIL","$LTE_INST","COPYOPTION","INSTRUMENT","STATIC","COPY","MENU","FALSE",,"FALSE","FALSE","INT_COPY",,,,"BEFORE",,,"Instrument","DESIGNER","InstrumentTask","Instrument","DEFAULT",,,"TRUE","TRUE","FALSE"
"29","Copy Location","Copy","CLL","$LTE_LOC","COPYOPTION","LOCATION","STATIC","COPY","MENU","FALSE",,"FALSE","FALSE","INT_COPY",,,,"BEFORE",,,"Locations","DESIGNER","LocationTask","Location","DEFAULT",,,"TRUE","TRUE","FALSE"
"31","Copy Operator","Copy","COL","$LTE_PERS","COPYOPTION","PERSONNEL","STATIC","COPY","MENU","FALSE",,"FALSE","FALSE","INT_COPY",,,,"BEFORE",,,"Operators","DESIGNER","PersonnelTask","Personnel",,,,"TRUE","TRUE","FALSE"
"32","Copy Preparation","Copy","CPL","$LTE_PREP","COPYOPTION","PREPARATION","SYSTEM","COPY","MENU","FALSE",,"FALSE","FALSE","INT_COPY",,,,"BEFORE",,,"Preparations","DESIGNER","PreparationTask","Preparation","DEFAULT",,,"TRUE","TRUE","FALSE"
"33","Report Completion of Sample Preparation","Complete Preparation","CPP","$AUX_CPP",,,"ACTIVE","STATUS","MENU","FALSE",,"FALSE","FALSE",,,,,"BEFORE",,,"Samples","VGL",,,,,,"TRUE","TRUE","FALSE"
"34","Change Your Password","Change Password","CPU","$USER_CONTROL","CHANGE_PASSWORD",,"SYSTEM","SECURITY","MENU","FALSE",,"FALSE","FALSE","INT_KEY",,,,"BEFORE",,,"Users","VGL",,,,,,"TRUE","TRUE","FALSE"
"35","Commit Sample","Commit Sample","CMS","$LIB_COMM","COMMIT_SAMPLE",,"ACTIVE","COMMIT","MENU","FALSE",,"FALSE","FALSE",,,,,"BEFORE",,,"Samples","VGL",,,,,,"TRUE","TRUE","FALSE"
"36","Display Analysis","Display","DAL","$LTE_ANAL","DISPLAYOPTION","VERSIONED_ANALYSIS","STATIC","DISPLAY","MENU","TRUE",,"FALSE","FALSE","INT_DISPLAY",,,,"BEFORE",,,"Analyses","DESIGNER","VersionedAnalysisTask","VersionedAnalysis","DEFAULT",,,"TRUE","TRUE","FALSE"
"37","Display Customer","Display","DCL","$LTE_CUS","DISPLAYOPTION","CUSTOMER","STATIC","DISPLAY","MENU","TRUE",,"FALSE","FALSE","INT_DISPLAY",,,,"BEFORE",,,"Customers","DESIGNER","CustomerTask","Customer","DEFAULT",,,"TRUE","TRUE","FALSE"
"38","Display Report Format","Display","DFL","$LTE_REP","DISPLAYOPTION","REPORT","SYSTEM","DISPLAY","MENU","TRUE",,"FALSE","FALSE","INT_DISPLAY",,,,"BEFORE",,,"Report Formats","VGL",,,,,,"TRUE","TRUE","FALSE"
"39","Multiple Result Entry","Entry by Sample(s)...",,"$LIB_RE_CRITERIA","REMULTIPLEMODIFYRMBOPTION",,"ACTIVE","MODIFY","RMB","FALSE",,"FALSE","FALSE",,,,,"BEFORE",,,,"VGL",,,,,,"TRUE","TRUE","FALSE"
"41","Display Instrument","Display","DIL","$LTE_INST","DISPLAYOPTION","INSTRUMENT","STATIC","DISPLAY","MENU","TRUE",,"FALSE","FALSE","INT_DISPLAY",,,,"BEFORE",,,"Instrument","DESIGNER","InstrumentTask","Instrument","DEFAULT",,,"TRUE","TRUE","FALSE"
