MASTER_MENU
PROCEDURE_NUM,LIBRARY,ROUTINE,TABLE_NAME,DATA_TYPE,ACTION_TYPE,TYPE,COMMITTED,AUX_REPORT,MODIFIABLE,REMOVEFLAG,ICON,PARAMETERS,PARAMETERS_ACTIONS,LIMSML_ENTITY,LIMSML_ACTION,CATEGORY,IMPLEMENTATION_TYPE,TASK_NAME,TASK_PARAMETERS,WINDOW_STYLE
10,20,40,40,10,10,10,1,10,1,1,30,234,10,20,20,234,10,234,234,20
147
2,$LTE_CUS,ADDOPTION,CUSTOMER,STATIC,ADD,MENU,FALSE,,TRUE,FALSE,INT_NEW,,BEFORE,,,Customers,DESIGNER,CustomerTask,Customer,DEFAULT
14,$LTE_TSTSC,ADDOPTION,TEST_SCHED_HEADER,STATIC,ADD,MENU,FALSE,,TRUE,FALSE,INT_NEW,,BEFORE,,,Test Schedules,DESIGNER,TestScheduleTask,TestSchedule,
23,$EXPLORER,EXPLORERTABLEDEFAULTS,,,MODIFY,MENU,FALSE,,TRUE,FALSE,INT_TABLE_SETTINGS,,BEFORE,,,Setup,DESIGNER,BrowseTask,"EXPLORER_FOLDER,CABINET_TABLE_DETAILS",
24,$LTE_CUS,COPYOPTION,CUSTOMER,STATIC,COPY,MENU,FALSE,,TRUE,FALSE,INT_COPY,,BEFORE,,,Customers,DESIGNER,CustomerTask,Customer,DEFAULT
37,$LTE_CUS,DISPLAYOPTION,CUSTOMER,STATIC,DISPLAY,MENU,TRUE,,TRUE,FALSE,INT_DISPLAY,,BEFORE,,,Customers,DESIGNER,CustomerTask,Customer,DEFAULT
48,$LTE_TSTSC,DISPLAYOPTION,TEST_SCHED_HEADER,STATIC,DISPLAY,MENU,TRUE,,TRUE,FALSE,INT_DISPLAY,,BEFORE,,,Test Schedules,DESIGNER,TestScheduleTask,TestSchedule,
74,$LTE_CUS,MODIFYOPTION,CUSTOMER,STATIC,MODIFY,MENU,FALSE,,TRUE,FALSE,INT_MODIFY,,BEFORE,,,Customers,DESIGNER,CustomerTask,Customer,DEFAULT
87,$LTE_TSTSC,MODIFYOPTION,TEST_SCHED_HEADER,STATIC,MODIFY,MENU,FALSE,,TRUE,FALSE,INT_MODIFY,,BEFORE,,,Test Schedules,DESIGNER,TestScheduleTask,TestSchedule,
116,$LTE_CUS,REMOVEOPTION,CUSTOMER,STATIC,REMOVE,MENU,FALSE,,TRUE,FALSE,INT_REMOVE,,BEFORE,,,Customers,DESIGNER,CustomerTask,Customer,DEFAULT
129,$LTE_TSTSC,REMOVEOPTION,TEST_SCHED_HEADER,STATIC,REMOVE,MENU,FALSE,,TRUE,FALSE,INT_REMOVE,,BEFORE,,,Test Schedules,DESIGNER,TestScheduleTask,TestSchedule,
136,$LTE_SYNT,DISPLAYOPTION,SYNTAX,STATIC,DISPLAY,MENU,TRUE,,TRUE,FALSE,INT_DISPLAY,,BEFORE,,,Syntaxes,DESIGNER,SyntaxTask,Syntax,DEFAULT
147,$LTE_CUS,RESTOREOPTION,CUSTOMER,STATIC,RESTORE,MENU,FALSE,,TRUE,FALSE,INT_RESTORE,,BEFORE,,,Customers,DESIGNER,CustomerTask,Customer,DEFAULT
161,$LTE_GROUP,ADDOPTION,GROUP_HEADER,STATIC,ADD,MENU,FALSE,,TRUE,FALSE,INT_NEW,,BEFORE,,,Groups,DESIGNER,GroupHeaderTask,GroupHeader,DEFAULT
192,$LTE_GROUP,MODIFYOPTION,GROUP_HEADER,STATIC,MODIFY,MENU,FALSE,,TRUE,FALSE,INT_MODIFY,,BEFORE,,,Groups,DESIGNER,GroupHeaderTask,GroupHeader,DEFAULT
195,$LTE_SYNT,ADDOPTION,SYNTAX,STATIC,ADD,MENU,FALSE,,TRUE,FALSE,INT_NEW,,BEFORE,,,Syntaxes,DESIGNER,SyntaxTask,Syntax,DEFAULT
196,$LTE_SYNT,COPYOPTION,SYNTAX,STATIC,COPY,MENU,FALSE,,TRUE,FALSE,INT_COPY,,BEFORE,,,Syntaxes,DESIGNER,SyntaxTask,Syntax,DEFAULT
197,$LTE_SYNT,MODIFYOPTION,SYNTAX,STATIC,MODIFY,MENU,FALSE,,TRUE,FALSE,INT_MODIFY,,BEFORE,,,Syntaxes,DESIGNER,SyntaxTask,Syntax,DEFAULT
198,$LTE_SYNT,REMOVEOPTION,SYNTAX,STATIC,REMOVE,MENU,FALSE,,TRUE,FALSE,INT_REMOVE,,BEFORE,,,Syntaxes,DESIGNER,SyntaxTask,Syntax,DEFAULT
199,$LTE_SYNT,RESTOREOPTION,SYNTAX,STATIC,RESTORE,MENU,FALSE,,TRUE,FALSE,INT_RESTORE,,BEFORE,,,Syntaxes,DESIGNER,SyntaxTask,Syntax,DEFAULT
208,$LTE_TSTSC,RESTOREOPTION,TEST_SCHED_HEADER,STATIC,RESTORE,MENU,FALSE,,TRUE,FALSE,INT_RESTORE,,BEFORE,,,Test Schedules,DESIGNER,TestScheduleTask,TestSchedule,
243,$LTE_TSTSC,COPYOPTION,TEST_SCHED_HEADER,STATIC,COPY,MENU,FALSE,,TRUE,FALSE,INT_COPY,,BEFORE,,,Test Schedules,DESIGNER,TestScheduleTask,TestSchedule,
341,$LTE_PROJ,ADDOPTION,PROJECT_INFO,STATIC,ADD,MENU,FALSE,,TRUE,FALSE,INT_NEW,,BEFORE,,,Projects,DESIGNER,ProjectInfoTask,ProjectInfo,DEFAULT
342,$LTE_PROJ,COPYOPTION,PROJECT_INFO,STATIC,COPY,MENU,FALSE,,TRUE,FALSE,INT_COPY,,BEFORE,,,Projects,DESIGNER,ProjectInfoTask,ProjectInfo,DEFAULT
