MASTER_MENU
PROCEDURE_NUM,MNEMONIC,LIBRARY,ROUTINE,TABLE_NAME,DATA_TYPE,ACTION_TYPE,TYPE,COMMITTED,AUX_REPORT,MODIFIABLE,REMOVEFLAG,ICON,PARAMETERS,PARAMETERS_ACTIONS,LIMSML_ENTITY,LIMSML_ACTION,CATEGORY,IMPLEMENTATION_TYPE,TASK_NAME,TASK_PARAMETERS,WINDOW_STYLE
10,10,20,50,40,10,10,10,1,10,1,1,30,234,10,20,20,234,10,234,234,20
81
13,AST,$ACTIVE,,SAMPLE,ACTIVE,LIST,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Samples,DESIGNER,CriteriaGenericReportingTask,"ACTIVE_SAMPLES,SAMPLES_ACTIVE",
27,,$EXPLORER,EXPLORERCABINET,,,DISPLAY,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Explorer Cabinet,VGL,,,
54,,$DATATREE,JOBTREEEXPLORERRMB,,ACTIVE,DISPLAY,RMB,TRUE,,FALSE,FALSE,,,BEFORE,,,,VGL,,,
55,DBG,$GENCOMP,DEBUG_REPORT,REPORT,SYSTEM,VGL,MENU,TRUE,,FALSE,FALSE,INT_DEBUG,,BEFORE,,,Report Formats,VGL,,,
93,OST,$OVERDUE,,,ACTIVE,REPORTING,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Reporting,DESIGNER,LabtableListCriteriaTask,"SAMPLES_OVERDUE,SAMPLES_OVERDUE",
131,SCT,$CUSTOMER,,,ACTIVE,REPORTING,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Reporting,DESIGNER,LabtablePrintCriteriaTask,CUSTOMER_SAMP_PRINT,
133,SIT,$INSTASSN,,,ACTIVE,REPORTING,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Reporting,DESIGNER,LabtablePrintCriteriaTask,INSTRUMENT_TESTS,
134,SLT,$LOCATE,,,ACTIVE,REPORTING,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Reporting,DESIGNER,LabtablePrintCriteriaTask,LOCATION_SAMP_PRINT,
141,WSR,$GENRESLIS,,SAMPLE,ACTIVE,REPORTING,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Reporting,DESIGNER,LabtablePrintCriteriaTask,SAMP_RES_LIST_P,
142,SST,$SUSPEND,,,ACTIVE,REPORTING,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Reporting,DESIGNER,LabtableListCriteriaTask,"SAMPLES_SUSPENDED,SAMPLES_SUSPENDED",
207,DBC,$CALCSYNT,DEBUG_CALCULATION,CALCULATION,SYSTEM,VGL,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Calculations,VGL,,,
227,TCF,$CALCSYNT,TEST_CALCULATION,CALCULATION,STATIC,DEBUG,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Calculations,VGL,,,
271,TXF,$CALCSYNT,TEST_SYNTAX,SYNTAX,STATIC,DEBUG,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Syntaxes,VGL,,,
272,TXD,$CALCSYNT,DEBUG_SYNTAX,SYNTAX,STATIC,DEBUG,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Syntaxes,VGL,,,
324,PJH,$SAMP_JOB,PRINTJOBENTRY,,ACTIVE,PRINT,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Jobs,DESIGNER,LabtablePrintCriteriaTask,JOB_HEADER,
325,LJH,$JOBLIST,,JOB_HEADER,ACTIVE,LIST,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Jobs,DESIGNER,LabtableListCriteriaTask,JOB_L,
326,PJS,$JOBSUM,,,ACTIVE,PRINT,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Jobs,DESIGNER,LabtablePrintCriteriaTask,JOB_SAMPLES_P,
465,PSW,$PRSAMPWS,,SAMPLE_WORKSHEET,ACTIVE,PRINT,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Worksheets,DESIGNER,WorksheetPrintCriteriaTask,SAMPLE_WORKSHEET_P,
466,PAW,$PRANALWKS,,ANALYSIS_WORKSHEET,ACTIVE,PRINT,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Worksheets,DESIGNER,WorksheetPrintCriteriaTask,ANALYSIS_WORKSHEET,
467,PTW,$PRTWKS,,ANALYSIS_WORKSHEET,ACTIVE,PRINT,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Worksheets,DESIGNER,LabtablePrintCriteriaTask,TEST_PREP_WKSHEET_P,
468,PPW,$PRPWKS,,SAMPLE_PREP_WORKSHEET,ACTIVE,PRINT,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Worksheets,DESIGNER,WorksheetPrintCriteriaTask,SAMPLE_PREP_WORKSHEET_P,
603,RTW,$WORKREV,,,ACTIVE,DISPLAY,MENU,TRUE,,FALSE,FALSE,,,BEFORE,,,Worksheets,VGL,,,
786,PWP,$LTE_WORK_PROFILE,PRINTOPTION,WORK_PROFILE,STATIC,PRINT,MENU,TRUE,,FALSE,FALSE,INT_PRINTER,,BEFORE,,,Work Profile,VGL,,,
876,PLZ,$LTE_LOT,PRINTOPTION,LOT_TEMPLATE,STATIC,PRINT,MENU,TRUE,,FALSE,FALSE,INT_PRINTER,,BEFORE,,,Lot Templates,VGL,,,
877,LLZ,$LTE_LOT,LISTOPTION,LOT_TEMPLATE,STATIC,LIST,MENU,TRUE,,FALSE,FALSE,INT_LIST,,BEFORE,,,Lot Templates,VGL,,,
882,ALO,$LOT_LOGIN,MENULOTLOGIN,LOT_DETAILS,ACTIVE,ADD,MENU,FALSE,,TRUE,FALSE,,,BEFORE,,,Lots,VGL,,,
883,CLO,$LOT_LOGIN,MENULOTDISPLAY,LOT_DETAILS,ACTIVE,DISPLAY,MENU,TRUE,,TRUE,FALSE,,,BEFORE,,,Lots,VGL,,,
884,MLO,$LOT_LOGIN,MENULOTMODIFY,LOT_DETAILS,ACTIVE,MODIFY,MENU,FALSE,,TRUE,FALSE,,,BEFORE,,,Lots,VGL,,,
