EXPLORER_FOLDER               
CABINET,FOLDER_NUMBER,NAME,DESCRIPTION,FOLDER_ICON_1,FOLDER_ICON_2,DATA_ICON,CRITERIA,TABLE_NAME,COLUMN_MODE,GROUP_ID,ORDER_NUMBER,AUTOSIZE,AUTO_LABTABLE,USER_LIBRARY,DATA_ICON_ROUTINE,CUSTOM_ROUTINE,DATA_ROUTINE,CRITERIA_ROUTINE,LEAVE_ROUTINE,TREE_ICON_ROUTINE,GROUP_EXCLUSIVE,HIERARCHY,CRITERIA_SAVED_IDENTITY,EXPLORER_FORM,EXPLORER_FORM_TASK,SHOW_VERSIONS,SHOW_REMOVED
30,10,100,234,30,30,30,10,30,10,10,10,1,1,20,30,30,30,30,30,30,1,40,40,30,100,1,1
                     64
"ENVIRONMENT","2","Substance","List of items held in the Substance Table","INT_CLOSED_FOLDER","INT_OPEN_FOLDER",,,"SUBSTANCE","CUSTOM",,"2","FALSE","FALSE",,,,,,,,"TRUE",,,,,"FALSE","FALSE"
"ENVIRONMENT","3","Location - Samples","Samples at the specific location","INT_CLOSED_FOLDER","INT_OPEN_FOLDER",,,"LOCATION","CUSTOM",,"3","FALSE","FALSE",,,,,,,,"TRUE","LOCATION_RECURSIVE_SAMP_DASH","LOCATION_NO_PARENT",,,"FALSE","FALSE"
"ENVIRONMENT","4","Location - Instruments","Instruments at the specific location","INT_CLOSED_FOLDER","INT_OPEN_FOLDER",,,"LOCATION","CUSTOM",,"4","FALSE","FALSE",,,,,,,,"TRUE","LOCATION_RECURSIVE_INST_DASH","LOCATION_NO_PARENT",,,"FALSE","FALSE"
"ENVIRONMENT","5","Location Types","List of items held in the Location Type Table","INT_CLOSED_FOLDER","INT_OPEN_FOLDER",,,"LOCATION_TYPE","CUSTOM",,"5","FALSE","FALSE",,,,,,,,"TRUE",,,,,"FALSE","FALSE"
"ENVIRONMENT","11","Suppliers","List of items held in the Supplier Table","INT_CLOSED_FOLDER","INT_OPEN_FOLDER",,,"SUPPLIER","CUSTOM",,"11","FALSE","FALSE",,,,,,,,"TRUE",,,,,"FALSE","FALSE"
"LABORATORY","2","Instrument Templates","Laboratory instrument templates","INT_CLOSED_FOLDER","INT_OPEN_FOLDER",,,"INSTRUMENT_TEMPLATE","CUSTOM",,"0","FALSE","FALSE",,,,,,,,"TRUE",,,,,"FALSE","FALSE"
"LABORATORY","3","Instrument Parts","Laboratory instrument parts","INT_CLOSED_FOLDER","INT_OPEN_FOLDER",,,"INSTRUMENT_PART","CUSTOM",,"0","FALSE","FALSE",,,,,,,,"TRUE",,,,,"FALSE","FALSE"
"LABORATORY","4","Instrument Part Templates","Laboratory instrument part templates","INT_CLOSED_FOLDER","INT_OPEN_FOLDER",,,"INSTRUMENT_PART_TEMPLATE","CUSTOM",,"0","FALSE","FALSE",,,,,,,,"TRUE",,,,,"FALSE","FALSE"
"LABORATORY","17","Stock Dashboard","Overview of Stocks","INT_CLOSED_FOLDER","INT_OPEN_FOLDER",,,"STOCK","CUSTOM",,"0","FALSE","FALSE",,,,,,,,"FALSE",,,"StockOverviewDash","StockOverviewDashTask","FALSE","FALSE"
"LABORATORY","18","Stock Batch Dashboard","Overview of Stock Batches","INT_CLOSED_FOLDER","INT_OPEN_FOLDER",,,"STOCK_BATCH","CUSTOM",,"0","FALSE","FALSE",,,,,,,,"TRUE",,"STOCK_BATCH_ACTIVE","StockBatchOverviewDash","StockBatchOverviewDashTask","FALSE","FALSE"
"LABORATORY","19","Stock","Stock","INT_CLOSED_FOLDER","INT_OPEN_FOLDER",,,"STOCK","BROWSE",,"0","FALSE","FALSE",,,,,,,,"TRUE",,,,,"FALSE","FALSE"
"LABORATORY","20","Stock Batch","Stock Batch","INT_CLOSED_FOLDER","INT_OPEN_FOLDER",,,"STOCK_BATCH","BROWSE",,"0","FALSE","FALSE",,,,,,,,"TRUE",,,,,"FALSE","FALSE"
"LABORATORY","21","Stock Order","Stock Order","INT_CLOSED_FOLDER","INT_OPEN_FOLDER",,,"STOCK_ORDER","CUSTOM",,"0","FALSE","FALSE",,,,,,,,"TRUE",,,,,"FALSE","FALSE"
"LABORATORY","22","Stock Inventory","Stock Inventory","INT_CLOSED_FOLDER","INT_OPEN_FOLDER",,,"STOCK_INVENTORY","BROWSE",,"0","FALSE","FALSE",,,,,,,,"TRUE",,,,,"FALSE","FALSE"
"LABTABLE","46","Schedule","List of items held in the Schedule Table","INT_BOOK_CLOSED","INT_BOOK_OPEN",,,"SCHEDULE","CUSTOM",,"0","FALSE","TRUE",,,,,,,,"TRUE",,,,,"FALSE","FALSE"
