EXPLORER_RMB                  
CABINET,FOLDER_NUMBER,RMB_NUMBER,TYPE,NAME,DESCRIPTION,GROUP_ID,ORDER_NUMBER,PARENT_NUMBER,CONTEXT_ROUTINE,CONTEXT_LIBRARY,CONTEXT_FIELD,CONTEXT_OPERATOR,CONTEXT_VALUE,ALLOW_MULTIPLE,ON_TREE,REFRESH,MENUPROC,USING,LOCK_REQUIRED,ON_NAVBAR,ON_GRID,BEGIN_GROUP
30,10,10,10,30,234,10,10,10,30,20,30,10,234,1,1,1,10,234,1,1,1,1
                    230
"TABLE_DETAILS","1","57","ITEM","Print by Label Template","Print by Label Template",,"57","1",,,,,,"TRUE","FALSE","FALSE","15799","Key","FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","4","12","ITEM","Print by Label Template","Print by Label Template",,"12","1",,,,,,"TRUE","FALSE","FALSE","15921","Key","FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","6","6","ITEM","Training History","Training History",,"6","0",,,,,,"FALSE","FALSE","FALSE","15984","IDENTITY","FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","11","1","ITEM","History","View Instrument History",,"1","0",,,,,,"FALSE","FALSE","FALSE","15931","IDENTITY","FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","11","2","ITEM","Training History","View Instruments Training History",,"2","0",,,,,,"FALSE","FALSE","FALSE","15982","IDENTITY","FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","11","3","SEPARATOR","<Separator>",,,"3","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","11","4","ITEM","Calibrate","Instrument Calibration",,"4","0",,,"REQUIRES_CALIBRATION","1","Yes","FALSE","FALSE","TRUE","15932","IDENTITY","TRUE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","11","5","ITEM","Complete Calibration","Complete Instrument Calibration",,"5","0",,,"CALIBRATION_SAMPLE","4","         0","FALSE","FALSE","TRUE","15937","IDENTITY","TRUE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","11","6","ITEM","Service","Complete Instrument Servicing",,"6","0",,,"REQUIRES_SERVICING","1","Yes","FALSE","FALSE","TRUE","15933","IDENTITY","TRUE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","11","7","SEPARATOR","<Separator>",,,"7","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","11","8","ITEM","Add Comment","Add comment Instrument History",,"8","0",,,,,,"FALSE","FALSE","TRUE","15934","IDENTITY","FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","11","9","ITEM","Report Fault/Unavailable","Report Instrument Fault and mark as Unavailable",,"9","0",,,"AVAILABLE","1","Yes","FALSE","FALSE","TRUE","15935","IDENTITY","TRUE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","11","10","ITEM","Mark as Available","Mark the Instrument as Available for Use",,"10","0",,,"AVAILABLE","1","No","FALSE","FALSE","TRUE","15936","IDENTITY","TRUE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","11","11","SEPARATOR","<Separator>",,,"11","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","12","3","ITEM","Training History","Training History",,"3","0",,,,,,"FALSE","FALSE","FALSE","15983","IDENTITY,ANALYSIS_VERSION","FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","39","1","ITEM","Assign Training Record","Assign Training Record to this operator",,"1","0",,,"REMOVEFLAG","1","No","TRUE","FALSE","TRUE","15902","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","39","2","ITEM","Training History","Training History for this operator",,"2","0",,,,,,"FALSE","FALSE","FALSE","15981","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","43","13","ITEM","Change Implementation","Change Implementation Type",,"13","3",,,"TASK_NAME","4",,"TRUE","FALSE","TRUE","11029",,"TRUE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","63","3","ITEM","Training History","Training History",,"3","0",,,,,,"FALSE","FALSE","FALSE","15983","IDENTITY,ANALYSIS_VERSION","FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","84","1","GROUP","Add","Form Creation",,"1","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","84","2","ITEM","Property Sheet...","Add a new Property Sheet",,"2","1",,,,,,"FALSE","FALSE","FALSE","15782",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","84","3","ITEM","Form...","Add a new Single Page Form",,"3","1",,,,,,"FALSE","FALSE","FALSE","15784",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","84","4","ITEM","Modify...","Modify Form Definition",,"4","0",,,,,,"FALSE","FALSE","FALSE","15785","Key","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","84","5","SEPARATOR","<Separator>",,,"5","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","84","6","ITEM","Designer...","Open the Form Designer",,"6","0",,,,,,"FALSE","FALSE","FALSE","15801","Key","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","84","7","ITEM","Test...","Test Form",,"7","0",,,"TYPE","1","PROPERTY","FALSE","FALSE","FALSE","15786","Key","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","84","8","ITEM","Test...","Test Form",,"8","0",,,"TYPE","1","FORM","FALSE","FALSE","FALSE","15796","Key","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","84","9","GROUP","Tools","Form Tools",,"9","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","84","10","ITEM","Extend...","Extend the Form",,"10","9",,,"TYPE","1","PROPERTY","FALSE","FALSE","FALSE","15793","Key","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","84","11","SEPARATOR","<Separator>",,,"11","9",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","84","12","ITEM","Activate...","Activate Form",,"12","9",,,"TYPE","1","PROPERTY","FALSE","FALSE","FALSE","15788","Key","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","84","13","SEPARATOR","<Separator>",,,"13","9",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","84","14","ITEM","Import Form(s)","Import Form(s)",,"14","9",,,,,,"FALSE","FALSE","FALSE","15794",,"FALSE","TRUE","TRUE","TRUE"
"TABLE_DETAILS","84","15","ITEM","Export Form(s)","Export Form(s)",,"15","9",,,,,,"TRUE","FALSE","FALSE","15795","Key","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","84","16","SEPARATOR","<Separator>",,,"16","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","84","17","ITEM","Delete...","Delete Form",,"17","0",,,,,,"TRUE","FALSE","FALSE","15798","Key","FALSE","TRUE","TRUE","TRUE"
"TABLE_DETAILS","86","1","GROUP","Schedule","Schedule Tasks",,"1","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","86","2","ITEM","Add...","Add a newSchedule",,"2","1",,,,,,"FALSE","TRUE","TRUE","15814",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","86","3","ITEM","Copy...","Copy this Schedule",,"3","1",,,,,,"FALSE","FALSE","TRUE","15815","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","86","4","ITEM","Modify...","Modify this Schedule",,"4","1",,,,,,"TRUE","FALSE","TRUE","15816","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","86","5","ITEM","Display...","Display this Schedule",,"5","1",,,,,,"TRUE","FALSE","FALSE","15817","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","86","8","SEPARATOR","<Separator>",,,"6","1",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","86","9","ITEM","Print...","Print this Schedule",,"7","1",,,,,,"TRUE","FALSE","FALSE","15819","IDENTITY","FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","86","10","ITEM","List...","List all Schedules",,"8","1",,,,,,"FALSE","TRUE","FALSE","15818",,"FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","86","11","SEPARATOR","<Separator>",,,"9","1",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","86","12","ITEM","Remove","Remove Schedule",,"10","1",,,"REMOVEFLAG","1","No","TRUE","FALSE","TRUE","15903","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","86","13","ITEM","Restore","Restore Schedule",,"11","1",,,"REMOVEFLAG","1","Yes","TRUE","FALSE","FALSE","15821","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","86","179","ITEM","Login Samples","Login Scheduled Samples",,"12","0",,,,,,"TRUE","FALSE","FALSE","15004",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","92","1","GROUP","Language","Language Tasks",,"1","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","92","2","ITEM","Add...","Add a new Language",,"2","1",,,,,,"FALSE","TRUE","TRUE","15805",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","92","3","ITEM","Copy...","Copy this Language",,"3","1",,,,,,"FALSE","FALSE","TRUE","15806","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","92","4","ITEM","Modify...","Modify this Language",,"4","1",,,,,,"TRUE","FALSE","TRUE","15807","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","92","5","ITEM","Display...","Display this Language",,"5","1",,,,,,"TRUE","FALSE","FALSE","15808","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","92","6","SEPARATOR","<Separator>",,,"6","1",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","92","7","ITEM","Print...","Print this Language",,"7","1",,,,,,"TRUE","FALSE","FALSE","15811","IDENTITY","FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","92","8","ITEM","List...","List all Languages",,"8","1",,,,,,"FALSE","TRUE","FALSE","15809",,"FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","92","9","SEPARATOR","<Separator>",,,"9","1",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","92","10","ITEM","Remove","Remove Language",,"10","1",,,"REMOVEFLAG","1","No","TRUE","FALSE","TRUE","15812","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","92","11","ITEM","Restore","Restore Language",,"11","1",,,"REMOVEFLAG","1","Yes","TRUE","FALSE","FALSE","15813","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","93","1","GROUP","Stock","Stock Tasks",,"1","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","93","2","ITEM","Add...","Add a new Stock",,"2","1",,,,,,"FALSE","TRUE","TRUE","15832",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","93","3","ITEM","Copy...","Copy this Stock",,"3","1",,,,,,"FALSE","FALSE","TRUE","15833","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","93","4","ITEM","Modify...","Modify this Stock",,"4","1",,,,,,"TRUE","FALSE","TRUE","15834","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","93","5","ITEM","Display...","Display this Stock",,"5","1",,,,,,"TRUE","FALSE","FALSE","15835","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","93","6","SEPARATOR","<Separator>",,,"6","1",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","93","7","ITEM","Print...","Print this Stock",,"7","1",,,,,,"TRUE","FALSE","FALSE","15837","IDENTITY","FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","93","8","ITEM","List...","List all Stocks",,"8","1",,,,,,"FALSE","TRUE","FALSE","15836",,"FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","93","9","SEPARATOR","<Separator>",,,"9","1",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","93","10","ITEM","Remove","Remove Stock",,"10","1",,,"REMOVEFLAG","1","No","TRUE","FALSE","TRUE","15838","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","93","11","ITEM","Restore","Restore Stock",,"11","1",,,"REMOVEFLAG","1","Yes","TRUE","FALSE","FALSE","15839","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","94","1","GROUP","Supplier","Supplier Tasks",,"1","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","94","2","ITEM","Add...","Add a new Supplier",,"2","1",,,,,,"FALSE","TRUE","TRUE","15841",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","94","3","ITEM","Copy...","Copy this Supplier",,"3","1",,,,,,"FALSE","FALSE","TRUE","15842","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","94","4","ITEM","Modify...","Modify this Supplier",,"4","1",,,,,,"TRUE","FALSE","TRUE","15843","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","94","5","ITEM","Display...","Display this Supplier",,"5","1",,,,,,"TRUE","FALSE","FALSE","15844","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","94","6","SEPARATOR","<Separator>",,,"6","1",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","94","7","ITEM","Print...","Print this Supplier",,"7","1",,,,,,"TRUE","FALSE","FALSE","15846","IDENTITY","FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","94","8","ITEM","List...","List all Suppliers",,"8","1",,,,,,"FALSE","TRUE","FALSE","15845",,"FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","94","9","SEPARATOR","<Separator>",,,"9","1",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","94","10","ITEM","Remove","Remove Supplier",,"10","1",,,"REMOVEFLAG","1","No","TRUE","FALSE","TRUE","15847","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","94","11","ITEM","Restore","Restore Supplier",,"11","1",,,"REMOVEFLAG","1","Yes","TRUE","FALSE","FALSE","15848","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","98","1","ITEM","Usage","Training Course Usage",,"1","0",,,,,,"FALSE","FALSE","FALSE","15901","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","98","2","SEPARATOR","<Separator>",,,"2","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","98","3","GROUP","Training Course","Training Course Tasks",,"3","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","98","4","ITEM","Add...","Add a new Training Course",,"4","3",,,,,,"FALSE","TRUE","TRUE","15823",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","98","5","ITEM","Copy...","Copy this Training Course",,"5","3",,,,,,"FALSE","FALSE","TRUE","15824","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","98","6","ITEM","Modify...","Modify this Training Course",,"6","3",,,,,,"TRUE","FALSE","TRUE","15825","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","98","7","ITEM","Display...","Display this Training Course",,"7","3",,,,,,"TRUE","FALSE","FALSE","15826","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","98","8","SEPARATOR","<Separator>",,,"8","3",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","98","9","ITEM","Print...","Print this Training Course",,"9","3",,,,,,"TRUE","FALSE","FALSE","15828","IDENTITY","FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","98","10","ITEM","List...","List all Training Courses",,"10","3",,,,,,"FALSE","TRUE","FALSE","15827",,"FALSE","FALSE","TRUE","FALSE"
"TABLE_DETAILS","98","11","SEPARATOR","<Separator>",,,"11","3",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","98","12","ITEM","Remove","Remove Training Course",,"12","3",,,"REMOVEFLAG","1","No","TRUE","FALSE","TRUE","15829","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","98","13","ITEM","Restore","Restore Training Course",,"13","3",,,"REMOVEFLAG","1","Yes","TRUE","FALSE","FALSE","15831","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","99","1","GROUP","Schedule Group","Schedule Group Tasks",,"1","0",,,,,,"FALSE","FALSE","FALSE","0",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","99","2","ITEM","Add...","Add a new Schedule Group",,"2","1",,,,,,"FALSE","TRUE","TRUE","15869",,"FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","99","3","ITEM","Copy...","Copy this Schedule Group",,"3","1",,,,,,"FALSE","FALSE","TRUE","15904","IDENTITY","FALSE","TRUE","TRUE","FALSE"
"TABLE_DETAILS","99","4","ITEM","Modify...","Modify this Schedule Group",,"4","1",,,,,,"TRUE","FALSE","TRUE","15871","IDENTITY","FALSE","TRUE","TRUE","FALSE"
