INFOMAKER_LINK                
IDENTITY,DESCRIPTION,LIBRARY,REPORT,USER_LIBRARY,VALID_ROUTINE,COPIES,PREVIEW,GROUP_ID,MODIFIABLE,MODIFIED_ON,MODIFIED_BY,REMOVEFLAG,NAME
30,234,100,50,20,40,10,1,10,1,10,10,1,100
                     191
"SAMPLE_SUMMARY_AUDITS",,"elan_custom.pbl","sample_summary_report_plus_audits",,,"1","TRUE",,"TRUE"," 24-07-2014 15:54:54.23","SYSTEM","FALSE","Sample Summary Audits"
"SAMPLE_SUMMARY_REPORT",,"elan_custom.pbl","sample_summary_report",,,"1","TRUE",,"TRUE"," 24-07-2014 15:54:54.25","SYSTEM","FALSE","Sample Summary Report"
"JOB_SUMMARY_REPORT",,"elan_custom.pbl","job_summary_report",,,"1","TRUE",,"TRUE"," 24-07-2014 15:54:54.26","SYSTEM","FALSE","Job Summary Report"
"RETAIN_HISTORY",,"elan_custom.pbl","retain_history",,,"1","TRUE",,"TRUE"," 24-07-2014 15:54:54.26","SYSTEM","FALSE","Retain History"
"INST_LIST_TEST",,"test.pbl","inst_calib",,,"1","TRUE",,"TRUE"," 24-07-2014 15:54:54.28","SYSTEM","FALSE","Inst List Test"
"EM_REPORT",,"em_reports.pbl","em_unclas_rm",,,"1","TRUE",,"TRUE"," 24-07-2014 15:54:54.28","SYSTEM","FALSE","Em Report"
"ATT_SMP_SIZE_1",,"lab_reports_smp_size.pbl","ath_0177_composite",,,"1","TRUE",,"TRUE"," 24-07-2014 15:54:54.29","SYSTEM","FALSE","Att Smp Size 1"
"ATT_SMP_2",,"lab_reports_smp_size.pbl","ath_0625_composite",,,"1","TRUE",,"TRUE"," 24-07-2014 15:54:54.29","SYSTEM","FALSE","Att Smp 2"
"ATH_0177",,"samp_size.pbl","ath_0177_composite",,,"1","TRUE",,"TRUE"," 24-07-2014 15:54:54.32","SYSTEM","FALSE","Ath 0177 finished Tablet Attribute Testing"
"ATH_0178",,"samp_size.pbl","ath_0178_composite",,,"1","TRUE",,"TRUE"," 24-07-2014 15:54:54.32","SYSTEM","FALSE","Ath 0178 Finished Capsule Attribute Testing"
"ATH_0625",,"samp_size.pbl","ath_0625_composite",,,"1","TRUE",,"TRUE"," 24-07-2014 15:54:54.34","SYSTEM","FALSE","Ath 0625 Tablet Attribute Testing"
"EM_ISOLATORS",,"em_reports.pbl","em_isolators",,,"1","TRUE",,"TRUE"," 24-07-2014 15:54:54.34","SYSTEM","FALSE","Em Isolators"
"EM_UNCLAS_RM",,"em_reports.pbl","em_unclas_rm",,,"1","TRUE",,"TRUE"," 24-07-2014 15:54:54.34","SYSTEM","FALSE","Em Unclas Rm"
"SAMPLE_DATA_REVIEW_2",,"test_reports.pbl","sample_data_review",,,"1","TRUE",,"TRUE"," 24-07-2014 15:54:54.39","SYSTEM","FALSE","Sample Data Review"
"EM_STERILITY",,"em_reports.pbl","em_sterility",,,"1","TRUE",,"TRUE"," 24-07-2014 15:54:54.39","SYSTEM","FALSE","Em Sterility"
"INSTRUMENT_AUDITS","System only display some instrument audits","test_reports.pbl","instrument_audits",,,"1","TRUE",,"TRUE"," 29-10-2014 10:19:18.84","SYSTEM","FALSE","Instrument Audits"
"M_LBL_VOC",,"labels.pbl","m_lbl_voc1",,,"1","FALSE",,"TRUE"," 04-09-2015 14:35:12.49","KEENANNE","FALSE","M Lbl Voc"
"CALCULATOR",,"labels.pbl","calculator",,,"1","FALSE","QC","TRUE"," 10-11-2015 11:47:27.57","KEENANNE","FALSE","Calculator"
"M_LBL_ENDO_REFRIDGE","Endotoxin refridgerate label","labels.pbl","m_lbl_endo_refridge",,,"1","FALSE","QC_MICRO","TRUE"," 30-03-2016 09:17:27.67","CAMPLIND","FALSE","M Lbl Endo Refridge"
"M_LBL_MICRO_REFRIGE","Micro Refridgerate label","labels.pbl","m_lbl_micro_refridge",,,"1","FALSE","QC_MICRO","TRUE"," 30-03-2016 09:18:32.26","CAMPLIND","FALSE","M Lbl Micro Refrige"
"COLUMN",,"labels.pbl","column",,,"1","FALSE",,"TRUE"," 30-06-2016 15:08:32.67","KEYELORR","FALSE","Column"
"Q_SAMP_LAB2","QC Laboratory Sample (No AP reference)","labels.pbl","q_lab_samp_2",,,"1","FALSE",,"TRUE"," 07-10-2016 12:12:27.87","CAMPLIND","FALSE","Q Samp Lab2"
"M_LBL_CHEM_REFRIDGE","Chemistry Water Sample 1L","labels.pbl","m_lbl_chem_refridge",,,"1","FALSE","QC_MICRO","TRUE"," 10-10-2016 09:13:49.57","CAMPLIND","FALSE","M Lbl Chem Refridge"
"M_LBL_ENDO250_REFRIDGE","Endotoxin Label 250mL","labels.pbl","m_lbl_endo250_refridge",,,"1","FALSE","QC_MICRO","TRUE"," 10-10-2016 09:14:42.74","CAMPLIND","FALSE","M Lbl Endo250 Refridge"
"M_LBL_TOC1_REFRIDGE","TOC Water Sample 1","labels.pbl","m_lbl_toc1_refridge",,,"1","FALSE","QC_MICRO","TRUE"," 10-10-2016 09:15:39.05","CAMPLIND","FALSE","M Lbl Toc1 Refridge"
