MENU_TOOLBAR                  
TOOLBAR_NAME,ITEM_NUMBER,PARENT_NUMBER,ITEM_NAME,TYPE,PROCEDURE_NUM,INTERNAL_ITEM_NAME,PAINT_STYLE,BEGIN_GROUP,SHORTCUT
20,10,10,234,20,10,40,40,1,20
                    4990
"QC","1","0","Main Toolbar","TOOLBAR","0",,,"FALSE",
"QC","2","1","Back","ITEM","0","VIEW_BACK","CaptionGlyph","FALSE",
"QC","3","1","Forward","ITEM","0","VIEW_FORWARD","Standard","FALSE",
"QC","4","1","Up","ITEM","0","VIEW_UP","Standard","TRUE",
"QC","5","1","Refresh","ITEM","35287","MENU_35287","Standard","FALSE",
"QC","6","0","ResourceScheduler","TOOLBAR","0",,,"FALSE",
"QC","7","6","Resource Manager","ITEM","14012","MENU_14012","CaptionGlyph","FALSE",
"QC","8","6","My Calendar","ITEM","14013","MENU_14013","CaptionGlyph","FALSE",
"QC","9","6","Stability Schedule","ITEM","1208","MENU_1208","CaptionGlyph","FALSE",
"QC","10","6","Instrument Calibration Schedul","ITEM","1209","MENU_1209","CaptionGlyph","FALSE",
"QC","11","0","&File","MENU","0","MENU_FILE","Standard","FALSE",
"QC","12","11","Run","ITEM","35286","MENU_35286","Standard","FALSE",
"QC","13","11","&Lock Session","ITEM","0","FILE_LOCK","Standard","FALSE",
"QC","14","11","&Rebuild Explorer","ITEM","0","FILE_REBUILD","Standard","FALSE",
"QC","15","11","&Change Menu","ITEM","0","FILE_MENU","Standard","FALSE",
"QC","16","11","Exit","ITEM","0","FILE_EXIT","Standard","TRUE",
"QC","17","0","&View","MENU","0","MENU_VIEW","Standard","FALSE",
"QC","18","17","Up","ITEM","0","VIEW_UP","Standard","TRUE",
"QC","19","17","Refresh","ITEM","35287","MENU_35287","Standard","FALSE",
"QC","20","17","My Workspace","ITEM","15775","MENU_15775","Standard","TRUE",
"QC","21","17","Show &Removed","ITEM","35285","MENU_35285","Standard","TRUE",
"QC","22","17","Explorer Bar","MENU","0","USER_MENU","Standard","TRUE",
"QC","23","22","&Tasks","ITEM","0","VIEW_TASKS","Standard","FALSE",
"QC","24","22","&Navigator","ITEM","0","VIEW_NAVIGATOR","Standard","FALSE",
"QC","25","22","&Explorer Grid","ITEM","0","VIEW_EXPLORER","Standard","FALSE",
"QC","26","22","&Status","ITEM","0","VIEW_STATUS","Standard","FALSE",
"QC","27","0","Setup","MENU","0","USER_MENU","Standard","FALSE",
"QC","28","27","Environment","MENU","0","USER_MENU","Standard","FALSE",
"QC","29","28","Locations","MENU","0","USER_MENU","Standard","FALSE",
"QC","30","29","Add","ITEM","6","MENU_6","Standard","FALSE",
"QC","31","29","Copy","ITEM","29","MENU_29","Standard","FALSE",
"QC","32","29","Modify","ITEM","78","MENU_78","Standard","FALSE",
"QC","33","29","Display","ITEM","43","MENU_43","Standard","FALSE",
"QC","34","29","Print","ITEM","103","MENU_103","Standard","TRUE",
"QC","35","29","List","ITEM","64","MENU_64","Standard","FALSE",
"QC","36","29","Remove","ITEM","122","MENU_122","Standard","TRUE",
"QC","37","29","Restore","ITEM","151","MENU_151","Standard","FALSE",
"QC","38","28","Sample Points","MENU","0","USER_MENU","Standard","FALSE",
"QC","39","38","Add","ITEM","231","MENU_231","Standard","FALSE",
"QC","40","38","Copy","ITEM","232","MENU_232","Standard","FALSE",
"QC","41","38","Modify","ITEM","233","MENU_233","Standard","FALSE",
"QC","42","38","Display","ITEM","238","MENU_238","Standard","FALSE",
"QC","43","38","Print","ITEM","236","MENU_236","Standard","TRUE",
"QC","44","38","List","ITEM","237","MENU_237","Standard","FALSE",
"QC","45","38","Remove","ITEM","234","MENU_234","Standard","TRUE",
"QC","46","38","Restore","ITEM","235","MENU_235","Standard","FALSE",
"QC","47","28","Customers","MENU","0","USER_MENU","Standard","FALSE",
"QC","48","47","Add","ITEM","2","MENU_2","Standard","FALSE",
"QC","49","47","Copy","ITEM","24","MENU_24","Standard","FALSE",
"QC","50","47","Modify","ITEM","74","MENU_74","Standard","FALSE",
"QC","51","47","Display","ITEM","37","MENU_37","Standard","FALSE",
"QC","52","47","Print","ITEM","97","MENU_97","Standard","TRUE",
"QC","53","47","List","ITEM","58","MENU_58","Standard","FALSE",
"QC","54","47","Remove","ITEM","116","MENU_116","Standard","TRUE",
"QC","55","47","Restore","ITEM","147","MENU_147","Standard","FALSE",
"QC","56","28","Sample Type Labels","MENU","0","USER_MENU","Standard","FALSE",
"QC","57","56","Add","ITEM","1132","MENU_1132","Standard","FALSE",
"QC","58","56","Copy","ITEM","1133","MENU_1133","Standard","FALSE",
"QC","59","56","Modify","ITEM","1134","MENU_1134","Standard","FALSE",
"QC","60","56","Display","ITEM","1135","MENU_1135","Standard","FALSE",
"QC","61","56","Print","ITEM","1136","MENU_1136","Standard","TRUE",
"QC","62","56","List","ITEM","1137","MENU_1137","Standard","FALSE",
"QC","63","56","Remove","ITEM","1138","MENU_1138","Standard","TRUE",
"QC","64","56","Restore","ITEM","1139","MENU_1139","Standard","FALSE",
"QC","65","27","Laboratory","MENU","0","USER_MENU","Standard","FALSE",
"QC","66","65","Instruments","MENU","0","USER_MENU","Standard","FALSE",
"QC","67","66","Add","ITEM","5","MENU_5","Standard","FALSE",
"QC","68","66","Copy","ITEM","28","MENU_28","Standard","FALSE",
"QC","69","66","Modify","ITEM","77","MENU_77","Standard","FALSE",
"QC","70","66","Display","ITEM","41","MENU_41","Standard","FALSE",
"QC","71","66","Print","ITEM","132","MENU_132","Standard","TRUE",
"QC","72","66","List","ITEM","63","MENU_63","Standard","FALSE",
"QC","73","66","Remove","ITEM","104","MENU_104","Standard","TRUE",
"QC","74","66","Restore","ITEM","125","MENU_125","Standard","FALSE",
"QC","75","65","Analyses","MENU","0","USER_MENU","Standard","FALSE",
"QC","76","75","Add","ITEM","1","MENU_1","Standard","FALSE",
"QC","77","75","Copy","ITEM","21","MENU_21","Standard","FALSE",
"QC","78","75","New Version","ITEM","15035","MENU_15035","Standard","FALSE",
"QC","79","75","Modify","ITEM","73","MENU_73","Standard","FALSE",
"QC","80","75","Display","ITEM","36","MENU_36","Standard","FALSE",
"QC","81","75","Print","ITEM","95","MENU_95","Standard","TRUE",
"QC","82","75","List","ITEM","59","MENU_59","Standard","FALSE",
"QC","83","75","Submit","ITEM","15102","MENU_15102","Standard","TRUE",
"QC","84","75","Approve","ITEM","15101","MENU_15101","Standard","FALSE",
"QC","85","75","History","ITEM","15055","MENU_15055","Standard","FALSE",
"QC","86","75","Remove","ITEM","115","MENU_115","Standard","TRUE",
"QC","87","75","Restore","ITEM","146","MENU_146","Standard","FALSE",
"QC","88","75","Test Formula","ITEM","15038","MENU_15038","Standard","TRUE",
"QC","89","75","Verify Formula","ITEM","15046","MENU_15046","Standard","FALSE",
"QC","90","65","Calculations","MENU","0","USER_MENU","Standard","FALSE",
"QC","91","90","Add","ITEM","251","MENU_251","Standard","FALSE",
"QC","92","90","Copy","ITEM","252","MENU_252","Standard","FALSE",
"QC","93","90","Modify","ITEM","253","MENU_253","Standard","FALSE",
"QC","94","90","Display","ITEM","256","MENU_256","Standard","FALSE",
"QC","95","90","Print","ITEM","254","MENU_254","Standard","TRUE",
"QC","96","90","List","ITEM","255","MENU_255","Standard","FALSE",
"QC","97","90","Remove","ITEM","401","MENU_401","Standard","TRUE",
"QC","98","90","Restore","ITEM","402","MENU_402","Standard","FALSE",
"QC","99","90","Test","ITEM","227","MENU_227","Standard","TRUE",
"QC","100","90","Debug","ITEM","207","MENU_207","Standard","FALSE",
"QC","101","65","Standards","MENU","0","USER_MENU","Standard","FALSE",
"QC","102","101","Add","ITEM","491","MENU_491","Standard","FALSE",
"QC","103","101","Copy","ITEM","492","MENU_492","Standard","FALSE",
"QC","104","101","Modify","ITEM","493","MENU_493","Standard","FALSE",
"QC","105","101","Display","ITEM","496","MENU_496","Standard","FALSE",
"QC","106","101","Print","ITEM","497","MENU_497","Standard","TRUE",
"QC","107","101","List","ITEM","498","MENU_498","Standard","FALSE",
"QC","108","101","Remove","ITEM","494","MENU_494","Standard","TRUE",
"QC","109","101","Restore","ITEM","495","MENU_495","Standard","FALSE",
"QC","110","101","Explore Versions","ITEM","15019","MENU_15019","Standard","TRUE",
